name,sells_surfboards,gives_lessons,latitude,longitude
Machine 89,1,0,40.71286204,-73.96900571
Machine 90,1,1,40.66797875,-73.96975747
Machine 91,1,0,40.67784372,-73.96566108
Machine 92,1,1,40.68351119,-74.04004511
Machine 93,0,1,40.84683084,-73.99223242
Machine 94,1,0,40.70984326,-74.09788239
Machine 95,1,1,40.74736589,-73.98140484
Machine 96,1,1,40.76067548,-74.02580139
Machine 97,0,1,40.638841,-73.86409635
Machine 98,0,1,40.80797272,-74.03623221
Machine 99,0,1,40.82475572,-73.94417993
Machine 100,1,0,40.77360957,-73.89012383
Machine 101,0,1,40.71973116,-74.15870419
Machine 102,0,0,40.59624176,-73.98110364
Machine 103,0,1,40.78834871,-73.91464764
Machine 104,1,0,40.65060961,-73.85637695
Machine 105,0,0,40.82725981,-74.0438431
Machine 106,1,0,40.72726181,-73.9502978
Machine 107,0,0,40.75049995,-73.91525019
Machine 108,0,0,40.77436133,-74.06932132
Machine 109,1,1,40.72745421,-74.16744285
Machine 110,0,0,40.57425593,-73.97304145
Machine 111,1,1,40.67971615,-73.8672917
Machine 112,0,1,40.62845276,-74.00447273
Machine 113,1,1,40.70369211,-73.84155328
Machine 114,1,1,40.79636228,-74.05729752
Machine 115,0,1,40.65277764,-74.07543747
Machine 116,0,1,40.73266392,-73.89799035
Machine 117,0,0,40.74292801,-73.8941488
Machine 118,1,0,40.85805899,-74.0277793
Machine 119,0,1,40.65001287,-74.12024053
Machine 120,0,0,40.58213973,-74.06830317
Machine 121,1,1,40.68054022,-74.15754995
Machine 122,0,0,40.60761515,-73.9470908
Machine 123,1,1,40.58370002,-73.98131038
Machine 124,1,0,40.76857473,-73.83185475
Machine 125,1,0,40.62225644,-74.11901292
Machine 126,1,0,40.77871995,-73.8852911
Machine 127,1,1,40.61760555,-74.05584772
Machine 128,0,0,40.6601307,-74.17144836
Machine 129,0,1,40.80056481,-73.87527893
Machine 130,1,0,40.81136555,-73.91982118
Machine 131,0,0,40.69438235,-73.87049572
Machine 132,1,0,40.59253582,-74.04491227
Machine 133,0,1,40.63095651,-74.01987376
Machine 134,0,0,40.76735113,-73.95962937
Machine 135,0,1,40.74574842,-73.8242918
Machine 136,0,1,40.61839872,-73.89121983
Machine 137,0,1,40.85527704,-73.9705333
Machine 138,0,1,40.83408449,-74.03718534
Machine 139,1,1,40.71703738,-73.81851102
Machine 140,1,1,40.72392686,-73.95389563
Machine 141,1,1,40.63831477,-74.03697833
Machine 142,1,1,40.61570907,-74.03182643
Machine 143,1,0,40.71253507,-73.84210974
Machine 144,0,0,40.78501902,-73.92411582
Machine 145,0,0,40.66662113,-73.96491674
Machine 146,1,1,40.69408153,-73.9260378
Machine 147,1,0,40.65674733,-73.85545976
Machine 148,1,1,40.77908943,-73.83804213
Machine 149,1,1,40.78280333,-73.87184612
Machine 150,1,0,40.70922669,-74.18003919
Machine 151,0,1,40.74310573,-73.9464335
Machine 152,0,0,40.64111661,-74.15169744
Machine 153,0,0,40.75040812,-73.85273279
Machine 154,0,1,40.68574832,-74.14218831
Machine 155,0,1,40.69512272,-74.1064634
Machine 156,0,1,40.82816814,-73.96085395
Machine 157,0,0,40.69446756,-74.10939541
Machine 158,0,1,40.77927707,-73.89923778
Machine 159,0,0,40.61139017,-74.01459461
Machine 160,1,1,40.63558205,-73.86375333
Machine 161,0,0,40.68911697,-74.1764703
Machine 162,1,0,40.74771374,-74.12288753
Machine 163,1,1,40.71812671,-73.86721108
Machine 164,1,1,40.59699494,-74.09735617
Machine 165,0,1,40.74865857,-74.0013714
Machine 166,1,1,40.68459767,-73.82342217
Machine 167,1,1,40.80107577,-74.00190053
Machine 168,0,0,40.7444953,-73.9875472
Machine 169,1,1,40.61595646,-74.06518232
Machine 170,0,1,40.67434115,-73.90217488
Machine 171,1,0,40.62747506,-74.04233797
Machine 172,1,1,40.7787835,-73.94558333
Machine 173,0,0,40.83948896,-74.08605613
Machine 174,0,1,40.6629351,-74.02699207
Machine 175,0,1,40.79627596,-73.87810112
Machine 176,0,0,40.69998083,-74.11015071
Machine 177,1,0,40.61706977,-74.03804425
Machine 178,0,0,40.70385017,-74.02716182
Machine 179,0,1,40.72727144,-73.99061089
Machine 180,0,1,40.60589157,-73.91410575
Machine 181,0,1,40.76523921,-74.08246351
Machine 182,1,1,40.63648999,-73.9510554
Machine 183,0,1,40.71771057,-73.82687408
Machine 184,0,0,40.70365697,-74.17148596
Machine 185,0,0,40.64895839,-74.09160195
Machine 186,0,0,40.71314006,-73.96160121
Machine 187,1,0,40.82624648,-74.02961722
Machine 188,0,1,40.63375911,-74.10946025
Machine 189,0,0,40.6308039,-74.11339612
Machine 190,0,1,40.64599696,-74.05320965
Machine 191,1,0,40.58436968,-74.0438397
Machine 192,0,0,40.71561291,-74.06466348
Machine 193,0,1,40.71213424,-74.1727076
Machine 194,0,0,40.70130434,-74.06139998
Machine 195,0,1,40.66131878,-73.93395748
Machine 196,1,0,40.8091438,-73.91159928
Machine 197,0,1,40.7622559,-73.90837735
Machine 198,0,0,40.80393667,-74.11425287
Machine 199,1,1,40.82105746,-73.88335728
Machine 200,0,1,40.67647535,-74.1374396
Machine 201,0,0,40.61639474,-74.04702654
Machine 202,1,0,40.71081262,-73.9565178
Machine 203,0,1,40.59954475,-74.08426968
Machine 204,0,0,40.64653893,-74.12387914
Machine 205,0,0,40.68374327,-73.91009398
Machine 206,0,1,40.83195289,-73.90752376
Machine 207,0,1,40.58060452,-74.07466192
Machine 208,0,0,40.67560856,-74.02455819
Machine 209,1,0,40.75341358,-74.03314678
Machine 210,1,0,40.80775635,-74.04612898
Machine 211,1,0,40.76132746,-73.94490263
Machine 212,1,0,40.71145684,-73.90420581
Machine 213,1,1,40.68364879,-73.84183558
Machine 214,0,0,40.65691488,-73.90548779
Machine 215,1,0,40.60140253,-73.96343018
Machine 216,0,0,40.81098974,-73.99857257
Machine 217,0,0,40.82139465,-74.12202095
Machine 218,0,0,40.65658535,-73.87041991
Machine 219,0,1,40.63420851,-73.95127131
Machine 220,1,1,40.7819179,-74.13971967
Machine 221,0,1,40.57128987,-74.00676969
Machine 222,0,1,40.60386514,-73.89989999
Machine 223,0,0,40.67409449,-73.88641706
Machine 224,0,1,40.81775721,-74.01455518
Machine 225,1,1,40.72145809,-73.94326834
Machine 226,0,0,40.72646937,-74.0970045
Machine 227,1,1,40.73086081,-74.00115548
Machine 228,0,0,40.65810181,-74.14305676
Machine 229,1,0,40.74308266,-74.07950486
Machine 230,0,1,40.77460279,-73.89870489
Machine 231,0,1,40.69482522,-74.09727425
Machine 232,0,1,40.72878043,-74.15036017
Machine 233,0,0,40.72925758,-74.17932468
Machine 234,1,1,40.73195811,-73.91137559
Machine 235,1,1,40.69304399,-74.10813996
Machine 236,1,0,40.79834348,-74.07903931
Machine 237,0,0,40.67376119,-73.98407983
Machine 238,1,1,40.78621608,-74.00524451
Machine 239,1,1,40.70722557,-73.84328023
Machine 240,0,1,40.67203392,-73.87438385
Machine 241,1,0,40.64473685,-73.90693809
Machine 242,0,1,40.65452797,-73.94329286
Machine 243,1,0,40.7121924,-74.00006804
Machine 244,1,1,40.77261457,-74.08026104
Machine 245,0,1,40.71791167,-73.82900473
Machine 246,0,1,40.84050542,-73.9387069
Machine 247,1,1,40.74141609,-73.95521758
Machine 248,0,1,40.65747406,-74.15109724
Machine 249,0,0,40.72542497,-73.8697935
Machine 250,0,1,40.61687625,-74.0121577
Machine 251,1,1,40.60423663,-73.90977535
Machine 252,0,1,40.79914264,-73.86066013
Machine 253,0,1,40.64196007,-73.97710597
Machine 254,1,0,40.59711468,-73.92864461
Machine 255,0,1,40.82053651,-73.91761985
Machine 256,1,1,40.57970653,-74.00133826
Machine 257,1,1,40.66757307,-74.1130382
Machine 258,1,1,40.75136178,-73.90111669
Machine 259,1,1,40.64824794,-74.08228563
Machine 260,0,1,40.71053843,-74.15841326
Machine 261,0,1,40.77608747,-74.12104361
Machine 262,1,1,40.57594038,-73.97034619
Machine 263,0,1,40.8058828,-74.00228077
Machine 264,0,0,40.61712912,-73.92048507
Machine 265,1,1,40.82348252,-73.95826409
Machine 266,1,0,40.72442814,-73.84945268
Machine 267,1,1,40.76944918,-73.97771323
Machine 268,1,1,40.75061271,-73.90273481
Machine 269,0,0,40.71712551,-74.02393159
Machine 270,1,1,40.73701766,-73.99974501
Machine 271,1,1,40.69272869,-74.04203771
Machine 272,0,0,40.76132738,-73.86155017
Machine 273,1,0,40.73443253,-73.89612617
Machine 274,0,1,40.70864629,-73.95156811
Machine 275,0,0,40.61860746,-73.94323001
Machine 276,1,0,40.61315984,-74.10743206
Machine 277,1,1,40.59708986,-73.96795844
Machine 278,1,0,40.80553788,-73.97104386
Machine 279,1,1,40.57147746,-74.00936444
Machine 280,0,1,40.75176593,-74.06233913
Machine 281,0,0,40.74448422,-74.06344275
Machine 282,0,1,40.65115205,-73.93113395
Machine 283,0,1,40.61601919,-73.9880115
Machine 284,0,1,40.68849699,-73.91418227
Machine 285,1,0,40.68760938,-73.93733078
Machine 286,1,0,40.82737432,-74.00962467
Machine 287,1,0,40.81788865,-74.00806904
Machine 288,1,1,40.6192075,-73.94217039
Machine 289,1,1,40.65916784,-74.03202419
Machine 290,1,0,40.72735412,-74.06085452
Machine 291,1,0,40.61099317,-73.9088159
Machine 292,1,1,40.8136049,-74.04655783
Machine 293,1,0,40.75506654,-73.85357039
Machine 294,0,0,40.77310945,-73.945356
Machine 295,1,0,40.66110776,-73.90203499
Machine 296,0,0,40.66424934,-74.03619071
Machine 297,0,1,40.60563999,-73.95019859
Machine 298,0,0,40.69022,-73.93532476
Machine 299,0,1,40.73818526,-73.96035123
Machine 300,1,0,40.69586332,-73.818557
Machine 301,0,0,40.66996969,-74.1424521
Machine 302,0,1,40.79168041,-73.88404844
Machine 303,0,1,40.71439934,-74.04227413
Machine 304,1,0,40.62837168,-73.98646747
Machine 305,0,1,40.65192582,-74.12692491
Machine 306,0,0,40.66977824,-73.87026343
Machine 307,1,0,40.72364248,-73.94660983
Machine 308,1,0,40.82848179,-74.07213024
Machine 309,1,0,40.82094183,-74.02303628
Machine 310,1,0,40.57366532,-74.00551484
Machine 311,0,0,40.69938475,-73.85413613
Machine 312,0,1,40.80431134,-73.8978161
Machine 313,0,0,40.62164675,-73.98219957
Machine 314,1,0,40.65040463,-73.89584935
Machine 315,0,0,40.75077838,-73.99618263
Machine 316,0,1,40.74023617,-74.04430606
Machine 317,1,0,40.79504146,-74.06544493
Machine 318,0,0,40.6628245,-73.98816971
Machine 319,1,1,40.70099873,-73.89460517
Machine 320,0,1,40.74448743,-74.11277962
Machine 321,1,1,40.66594307,-73.92561896
Machine 322,1,0,40.65311394,-74.07447543
Machine 323,0,1,40.64536245,-74.12096721
Machine 324,0,0,40.73446727,-74.11758136
Machine 325,0,0,40.72899893,-74.14976321
Machine 326,1,1,40.67126344,-74.05078312
Machine 327,1,0,40.68760547,-73.99444
Machine 328,1,1,40.7795273,-73.91787354
Machine 329,1,0,40.80749421,-73.98575733
Machine 330,0,1,40.68719686,-74.19257891
Machine 331,1,0,40.7655632,-74.1848824
Machine 332,0,1,40.62970772,-73.85580181
Machine 333,0,1,40.5942625,-73.90690785
Machine 334,0,1,40.72606306,-73.87906192
Machine 335,1,0,40.78327022,-73.89570467
Machine 336,0,1,40.59257437,-73.98798908
Machine 337,1,1,40.76119976,-74.137487
Machine 338,1,0,40.69618394,-73.97251612
Machine 339,1,1,40.82009025,-73.96192349
Machine 340,1,1,40.7508956,-73.88772488
Machine 341,1,1,40.78808574,-73.94007432
Machine 342,1,1,40.65190426,-74.17906872
Machine 343,0,0,40.7045599,-74.03400281
Machine 344,1,0,40.7773533,-73.90955577
Machine 345,0,1,40.7128148,-74.11557736
Machine 346,0,1,40.61466317,-73.93956338
Machine 347,1,0,40.79259739,-74.0638631
Machine 348,1,1,40.79530939,-74.15100718
Machine 349,1,1,40.7728454,-74.0192723
Machine 350,0,0,40.81263195,-74.13495785
Machine 351,0,0,40.71834571,-74.04253322
Machine 352,0,0,40.83279219,-73.94741811
Machine 353,1,0,40.63108849,-73.92660825
Machine 354,1,0,40.74851098,-74.05970154
Machine 355,1,1,40.69289493,-74.05534299
Machine 356,0,0,40.62732882,-74.09002183
Machine 357,1,0,40.76086463,-74.02327575
Machine 358,1,1,40.75590471,-73.85566563
Machine 359,1,0,40.58926616,-73.93401441
Machine 360,1,0,40.80982777,-73.90668372
Machine 361,1,0,40.77798974,-74.01200586
Machine 362,1,0,40.77857435,-74.12391212
Machine 363,0,0,40.68401742,-74.0556762
Machine 364,0,0,40.78572478,-74.00693421
Machine 365,1,0,40.69503395,-74.1076128
Machine 366,0,0,40.64633676,-73.97335174
Machine 367,0,0,40.84942167,-74.01515563
Machine 368,1,1,40.63424713,-74.03555337
Machine 369,1,1,40.79266849,-74.14527873
Machine 370,0,0,40.65216842,-74.00426726
Machine 371,1,1,40.76759262,-73.92989325
Machine 372,0,0,40.73165127,-74.00444788
Machine 373,1,1,40.7377416,-74.00017522
Machine 374,0,0,40.84450052,-73.94865319
Machine 375,0,1,40.7708995,-73.84211436
Machine 376,0,0,40.69398784,-73.98635991
Machine 377,1,1,40.58216748,-74.05069908
Machine 378,0,0,40.71562949,-74.14577391
Machine 379,1,0,40.6154467,-74.10339988
Machine 380,1,1,40.60753487,-73.99812157
Machine 381,1,0,40.64903935,-74.06216213
Machine 382,0,1,40.61145796,-74.00168828
Machine 383,0,0,40.69881142,-73.90723175
Machine 384,1,0,40.76580097,-73.83854693
Machine 385,1,1,40.75901009,-74.12979755
Machine 386,1,1,40.62845049,-74.06936725
Machine 387,1,1,40.81786327,-74.05082009
Machine 388,1,1,40.63661528,-74.07361301
Machine 389,0,1,40.72343601,-73.85749268
Machine 390,0,0,40.66582291,-74.0113383
Machine 391,0,0,40.75371808,-73.88348284
Machine 392,1,1,40.68807272,-74.11198969
Machine 393,1,0,40.65908835,-74.1400395
Machine 394,1,0,40.58407605,-73.98123903
Machine 395,1,1,40.77400439,-73.95695906
Machine 396,0,1,40.65979976,-73.83742768
Machine 397,0,0,40.65824462,-74.08111308
Machine 398,0,1,40.69377626,-74.02213998
Machine 399,1,0,40.72121622,-74.15825551
Machine 400,0,1,40.71714564,-74.13412286
Machine 401,0,1,40.80636666,-73.96607752
Machine 402,1,1,40.69284819,-73.91300624
Machine 403,0,0,40.68024188,-74.09586175
Machine 404,1,0,40.57229568,-74.02597738
Machine 405,0,0,40.63803656,-74.06265336
Machine 406,1,0,40.83711447,-74.00480093
Machine 407,0,0,40.64676054,-73.84877342
Machine 408,1,1,40.60928686,-73.98506644
Machine 409,0,1,40.66054886,-74.11871922
Machine 410,1,1,40.67740122,-74.09099505
Machine 411,0,1,40.66032219,-73.97640748
Machine 412,1,0,40.74195937,-73.94890794
Machine 413,1,1,40.64782816,-73.89632289
Machine 414,1,0,40.73677804,-73.94423877
Machine 415,1,0,40.63100302,-73.864081
Machine 416,0,0,40.61333001,-73.92783216
Machine 417,0,1,40.7174925,-73.91561203
Machine 418,1,1,40.66529528,-74.1132539
Machine 419,0,1,40.76791564,-74.12549395
Machine 420,0,1,40.65337098,-73.99089488
Machine 421,0,0,40.67039178,-74.05668516
Machine 422,1,0,40.60108291,-73.94400685
Machine 423,0,0,40.57089008,-73.99520706
Machine 424,0,0,40.73125355,-73.96593396
Machine 425,0,1,40.66446935,-73.87196635
Machine 426,0,0,40.74342546,-73.86839179
Machine 427,0,0,40.70192113,-73.88737277
Machine 428,1,1,40.76323081,-74.0559334
Machine 429,0,1,40.70718223,-73.87561243
Machine 430,1,1,40.60132277,-74.02478535
Machine 431,1,0,40.7824952,-73.95676479
Machine 432,1,1,40.83216796,-74.07015573
Machine 433,1,0,40.57504494,-73.98658816
Machine 434,1,0,40.58394214,-74.06000069
Machine 435,1,1,40.65175563,-74.07664929
Machine 436,0,1,40.77202651,-74.00713242
Machine 437,1,1,40.67120496,-74.03360907
Machine 438,1,0,40.8149958,-74.12265775
Machine 439,0,1,40.60858083,-73.93684194
Machine 440,1,1,40.69402138,-73.88555058
Machine 441,1,0,40.6906178,-73.89885506
Machine 442,1,0,40.80437866,-74.1354561
Machine 443,0,0,40.78939842,-74.16452027
Machine 444,0,1,40.64387663,-73.87642357
Machine 445,1,0,40.66314489,-73.86500482
Machine 446,1,0,40.76350031,-73.86076014
Machine 447,1,0,40.69928455,-73.85972418
Machine 448,0,0,40.83422198,-73.9777241
Machine 449,1,0,40.67556864,-74.14404874
Machine 450,1,1,40.69170481,-74.1349012
Machine 451,0,1,40.78266556,-74.05207607
Machine 452,0,0,40.73653792,-73.84706016
Machine 453,1,1,40.70622691,-73.91867744
Machine 454,0,0,40.66963645,-74.056918
Machine 455,0,0,40.79754149,-74.08798482
Machine 456,0,1,40.67398039,-73.83115318
Machine 457,1,1,40.70048776,-73.87267896
Machine 458,0,0,40.63881271,-73.99240423
Machine 459,1,1,40.72312973,-73.93510852
Machine 460,0,0,40.81963586,-74.01444628
Machine 461,0,1,40.70122839,-74.04328989
Machine 462,0,1,40.60973135,-73.89985517
Machine 463,0,1,40.83154368,-73.90775769
Machine 464,0,0,40.63437281,-73.88049978
Machine 465,1,1,40.67257985,-73.8954427
Machine 466,0,1,40.83997312,-73.99582124
Machine 467,0,0,40.67768605,-73.82353409
Machine 468,0,1,40.76134805,-74.17679066
Machine 469,1,1,40.74557875,-74.09531084
Machine 470,0,1,40.80167695,-73.98588122
Machine 471,0,0,40.76608289,-74.03535038
Machine 472,0,0,40.69158616,-73.85922436
Machine 473,0,1,40.66294245,-73.92545039
Machine 474,0,0,40.57134036,-74.01213903
Machine 475,0,0,40.6962295,-73.99562129
Machine 476,0,1,40.67381585,-74.07609475
Machine 477,1,0,40.62933388,-73.99077615
Machine 478,0,0,40.64789551,-74.08857863
Machine 479,0,0,40.7143298,-73.90106284
Machine 480,0,0,40.68030043,-74.13755093
Machine 481,1,0,40.66719806,-74.14085683
Machine 482,1,0,40.77546134,-74.04204195
Machine 483,0,1,40.73224307,-74.18616289
Machine 484,0,0,40.64456217,-74.08006552
Machine 485,0,0,40.60831725,-74.10613338
Machine 486,0,1,40.68229692,-74.14257171
Machine 487,1,1,40.7806669,-73.91551553
Machine 488,1,1,40.61546715,-73.88077823
Machine 489,0,0,40.79110167,-74.07551718
Machine 490,0,0,40.58127436,-73.94377019
Machine 491,1,0,40.75385857,-74.14473781
Machine 492,0,0,40.72697799,-73.95686868
Machine 493,1,0,40.65163441,-73.98886441
Machine 494,1,0,40.65913668,-73.94368553
Machine 495,0,1,40.7431485,-74.07893404
Machine 496,1,0,40.64774774,-73.97041153
Machine 497,0,0,40.61980446,-74.0647067
Machine 498,0,0,40.68829102,-74.13118944
Machine 499,0,1,40.76012344,-73.97925638
Machine 500,0,0,40.74701083,-73.91300291
Machine 501,1,0,40.68102198,-74.11260239
Machine 502,1,0,40.81612764,-73.98416088
Machine 503,1,0,40.60305442,-73.94991789
Machine 504,0,0,40.82601308,-73.90433464
Machine 505,1,1,40.67615428,-74.15949551
Machine 506,0,1,40.80993436,-74.08338056
Machine 507,0,0,40.6268265,-73.97658437
Machine 508,0,1,40.58175719,-73.98206946
Machine 509,1,1,40.85532529,-73.99928506
Machine 510,0,0,40.6165831,-74.00272087
Machine 511,1,0,40.79113805,-74.00710241
Machine 512,0,1,40.65877434,-73.96891322
Machine 513,1,0,40.74484169,-74.00927828
Machine 514,0,1,40.72374896,-73.87356426
Machine 515,0,0,40.66970066,-73.85974058
Machine 516,0,1,40.69620638,-73.89968444
Machine 517,1,0,40.81922146,-74.10867403
Machine 518,0,1,40.68246774,-74.14410131
Machine 519,1,1,40.68138039,-74.02207916
Machine 520,1,1,40.75303399,-74.0247283
Machine 521,1,1,40.78558356,-74.08503678
Machine 522,0,0,40.82581988,-74.06278016
Machine 523,0,1,40.81309172,-74.0562612
Machine 524,1,1,40.6899851,-74.1735768
Machine 525,1,1,40.7538924,-74.06660612
Machine 526,0,0,40.78924216,-74.09166859
Machine 527,0,0,40.83162996,-73.99142113
Machine 528,1,0,40.72020782,-74.07674468
Machine 529,0,1,40.62144743,-74.00760524
Machine 530,0,1,40.61599976,-74.06963732
Machine 531,0,1,40.64466855,-73.96241475
Machine 532,1,1,40.64095468,-74.1402401
Machine 533,1,0,40.76268476,-74.06037016
Machine 534,0,0,40.73634335,-74.04783997
Machine 535,0,1,40.8520798,-73.9553526
Machine 536,0,0,40.8108429,-73.91013735
Machine 537,0,0,40.65191822,-73.917237
Machine 538,1,0,40.61963451,-74.13892767
Machine 539,1,1,40.75471283,-74.10382491
Machine 540,1,0,40.75934285,-73.93265471
Machine 541,0,0,40.80250723,-74.15251803
Machine 542,0,1,40.82361712,-74.02895696
Machine 543,0,0,40.58249687,-73.97157678
Machine 544,0,0,40.78656646,-73.96836377
Machine 545,1,1,40.72551731,-73.93853798
Machine 546,0,0,40.74924542,-73.9024942
Machine 547,0,1,40.75941192,-73.84108897
Machine 548,0,0,40.79775665,-74.08236188
Machine 549,0,0,40.65300257,-74.00301938
Machine 550,0,0,40.65828281,-73.92995542
Machine 551,1,1,40.78938225,-74.16637304
Machine 552,0,1,40.7425382,-74.11065792
Machine 553,0,0,40.74963565,-73.95191861
Machine 554,0,1,40.57609355,-74.01719909
Machine 555,1,0,40.84931899,-74.03067058
Machine 556,0,0,40.61223692,-73.88952951
Machine 557,1,0,40.67294132,-73.89095787
Machine 558,0,1,40.68288891,-74.17633405
Machine 559,1,1,40.63312705,-73.86242402
Machine 560,1,0,40.70240971,-74.11253593
Machine 561,0,1,40.58272705,-74.04139996
Machine 562,1,1,40.68908594,-74.13242614
Machine 563,1,1,40.61388045,-74.06735326
Machine 564,1,0,40.61751454,-74.03074906
Machine 565,1,0,40.63738969,-74.16166648
Machine 566,0,0,40.59386905,-73.96327832
Machine 567,0,0,40.63066051,-74.00969031
Machine 568,1,0,40.66523411,-73.90026624
Machine 569,0,1,40.79344431,-74.14421964
Machine 570,1,0,40.72769086,-73.9377697
Machine 571,0,0,40.64835235,-73.89258392
Machine 572,0,1,40.72232492,-74.17427989
Machine 573,1,0,40.69493255,-73.89976298
Machine 574,0,0,40.73189422,-73.98823137
Machine 575,1,0,40.69895383,-74.07666591
Machine 576,0,1,40.63650577,-74.06286983
Machine 577,1,1,40.67952055,-74.09550625
Machine 578,1,0,40.59814887,-74.05099269
Machine 579,0,1,40.63831249,-73.92625433
Machine 580,0,0,40.7914323,-74.13037205
Machine 581,1,0,40.76363889,-73.8855958
Machine 582,0,1,40.71696524,-73.97647584
Machine 583,0,0,40.69781673,-73.89463366
Machine 584,0,1,40.80106694,-73.91187311
Machine 585,1,1,40.79908755,-74.01033475
Machine 586,1,1,40.66645203,-73.94688207
Machine 587,1,1,40.7651236,-74.033764
Machine 588,0,0,40.71409662,-73.99047002
Machine 589,1,0,40.7848517,-74.10807306
Machine 590,0,0,40.66675954,-73.98741192
Machine 591,1,0,40.69905038,-73.99570903
Machine 592,0,0,40.73208648,-73.86304711
Machine 593,1,0,40.71502343,-74.17038513
Machine 594,1,1,40.67684937,-74.08606513
Machine 595,1,0,40.64014095,-73.86099058
Machine 596,1,0,40.71387386,-74.06603289
Machine 597,0,0,40.81001367,-73.87421377
Machine 598,0,0,40.71272192,-74.06926926
Machine 599,1,0,40.72386482,-74.15010016
Machine 600,1,0,40.59129174,-74.00218466
Machine 601,0,1,40.58779432,-73.96750895
Machine 602,1,1,40.71962329,-74.15602258
Machine 603,1,0,40.77120486,-74.14584854
Machine 604,1,1,40.63181186,-73.86311576
Machine 605,0,0,40.7720577,-74.12205582
Machine 606,0,1,40.58411946,-74.07755966
Machine 607,1,0,40.66207829,-74.04653858
